chrom	start	end	name	strand	count_m	count_valid_m	percent_m
chr1	2592751	2593026	.	.	3580	6778	52.81794
chr1	3072778	3072833	.	.	1960	3783	51.81073
chr1	3120357	3120459	.	.	1851	3371	54.909523
chr1	3159281	3159320	.	.	2060	4314	47.751507
chr1	3248426	3248567	.	.	2762	4861	56.81958
chr1	3330836	3331059	.	.	1766	3259	54.1884
chr1	3352589	3352664	.	.	2309	4422	52.21619
chr1	3375819	3376016	.	.	2526	4975	50.773872
chr1	3540025	3540169	.	.	1919	3981	48.203968
chr1	3601060	3601270	.	.	2209	3803	58.08572
chr1	3609424	3609495	.	.	1767	3216	54.94403
chr1	3696010	3696086	.	.	1991	3715	53.59354
chr1	3716439	3716816	.	.	1937	3349	57.83816
chr1	3880805	3881069	.	.	5014	9348	53.637142
chr1	3904452	3904538	.	.	1978	3589	55.112846
chr1	4213480	4213598	.	.	2117	3754	56.39318
chr1	4267420	4267832	.	.	2258	3945	57.23701
chr1	4987374	4987456	.	.	1706	3251	52.476162
chr1	5811078	5811194	.	.	2005	3601	55.678974
chr1	5994319	5994441	.	.	1938	3913	49.527214
chr1	6007443	6007567	.	.	5872	9622	61.02681
chr1	6040916	6040974	.	.	2050	4032	50.843258
chr1	6041158	6041228	.	.	1859	3536	52.573532
chr1	6105187	6105221	.	.	1741	3289	52.93402
chr1	6161060	6161424	.	.	1799	3690	48.753387
chr1	6295059	6295145	.	.	2888	5022	57.506966
chr1	6416379	6416535	.	.	1967	3739	52.60765
chr1	6456134	6456209	.	.	1653	3438	48.08028
chr1	6735595	6735638	.	.	2285	3832	59.629433
chr1	7149750	7149821	.	.	2519	4450	56.60674
chr1	7159351	7159642	.	.	2114	3908	54.094166
chr1	7194138	7194465	.	.	2213	3965	55.813366
chr1	7279434	7279549	.	.	2275	4174	54.504074
chr1	8198962	8199042	.	.	2172	3610	60.166203
chr1	8388463	8388509	.	.	2480	4637	53.482853
chr1	9002334	9002365	.	.	1739	3312	52.506042
chr1	9245333	9245425	.	.	2094	3521	59.471737
chr1	9361990	9362091	.	.	2110	3694	57.119656
chr1	9490775	9490883	.	.	1967	3894	50.513615
chr1	9690002	9690066	.	.	3892	7127	54.609234
chr1	10471823	10471848	.	.	1605	3239	49.55233
chr1	10553347	10553466	.	.	2896	4796	60.38365
chr1	10639279	10639310	.	.	2078	3745	55.487316
chr1	10671324	10671341	.	.	1808	3119	57.9673
chr1	10804324	10804564	.	.	3664	6675	54.891384
chr1	10809373	10809518	.	.	1957	3426	57.12201
chr1	11011875	11011910	.	.	3154	5708	55.255783
chr1	11059068	11059103	.	.	1960	3773	51.94805
chr1	11454150	11454217	.	.	2332	3752	62.15352
chr1	11501400	11501440	.	.	2125	4418	48.098686
chr1	11501742	11501836	.	.	5093	9725	52.37018
chr1	11725370	11725578	.	.	2885	5582	51.683987
chr1	11857193	11857493	.	.	2020	3841	52.590473
chr1	11925101	11925308	.	.	2611	4577	57.046097
chr1	12146656	12146838	.	.	2549	4699	54.245586
chr1	12634281	12634540	.	.	3084	5983	51.54605
chr1	14601821	14602141	.	.	1888	3580	52.737434
chr1	14944834	14944935	.	.	1993	3727	53.474648
chr1	15302085	15302189	.	.	1771	3757	47.13867
chr1	15384629	15384678	.	.	1949	3488	55.877293
chr1	15384820	15384936	.	.	3091	5444	56.778103
chr1	15445674	15445717	.	.	2169	3739	58.010162
chr1	15833437	15833485	.	.	2598	4790	54.238
chr1	15837777	15837896	.	.	2056	3722	55.239117
chr1	16226878	16226912	.	.	2528	4475	56.49162
chr1	16520627	16520647	.	.	1886	3587	52.57876
chr1	16647236	16647262	.	.	6708	11098	60.443325
chr1	16686057	16686133	.	.	7320	14107	51.889133
chr1	16686145	16686200	.	.	3681	7061	52.131428
chr1	16686220	16686240	.	.	3042	5094	59.717316
chr1	16759171	16759205	.	.	3571	7291	48.97819
chr1	16875304	16875336	.	.	3013	5740	52.49129
chr1	17149323	17149362	.	.	2596	4846	53.569954
chr1	18032590	18032705	.	.	2591	4452	58.198566
chr1	18352820	18352903	.	.	1662	3167	52.478687
chr1	18481474	18481608	.	.	2399	4051	59.219944
chr1	18649323	18649868	.	.	1962	3489	56.233875
chr1	18675751	18675887	.	.	2768	4808	57.570713
chr1	18684236	18684500	.	.	2688	5063	53.091057
chr1	18684806	18684913	.	.	2188	3623	60.391937
chr1	18698616	18698750	.	.	2079	4006	51.897156
chr1	18716058	18716214	.	.	1897	3475	54.589928
chr1	18784245	18784280	.	.	2284	4490	50.868595
chr1	18784387	18784484	.	.	4246	7800	54.435898
chr1	18784594	18784635	.	.	2040	3709	55.001347
chr1	18875464	18875522	.	.	1780	3454	51.53445
chr1	19645888	19646045	.	.	2941	4973	59.139355
chr1	19666265	19666328	.	.	1973	3866	51.03466
chr1	20467551	20468069	.	.	1960	3488	56.19266
chr1	20852106	20852229	.	.	2640	4765	55.403988
chr1	21317421	21317496	.	.	2229	4326	51.525658
chr1	21437475	21437501	.	.	2256	3630	62.14876
chr1	21537826	21537995	.	.	2462	4124	59.69932
chr1	21608232	21608321	.	.	2356	4030	58.46154
chr1	21630961	21631176	.	.	2048	3456	59.25926
chr1	21822432	21822565	.	.	2733	4488	60.89572
chr1	21857791	21857966	.	.	1978	3576	55.313198
chr1	22183006	22183121	.	.	2007	3593	55.858612
chr1	22210516	22210784	.	.	2207	4196	52.597713
chr1	22428991	22429148	.	.	2823	4794	58.886105
chr1	22593606	22593686	.	.	2204	4084	53.9667
chr1	23169128	23169179	.	.	2107	3942	53.450024
chr1	23436693	23436752	.	.	2236	3894	57.421673
chr1	23436873	23436959	.	.	2754	4704	58.545918
chr1	23436978	23437015	.	.	2369	3971	59.657513
chr1	24535230	24535328	.	.	3443	6615	52.048374
chr1	24540223	24540434	.	.	3017	5108	59.064217
chr1	24722682	24722806	.	.	3276	5613	58.36451
chr1	24909771	24909846	.	.	2321	3942	58.878742
chr1	24925238	24925365	.	.	2313	3704	62.446003
chr1	24965374	24965484	.	.	1717	3281	52.331608
chr1	24978285	24978455	.	.	1561	3017	51.74014
chr1	25506954	25507027	.	.	1748	3660	47.759563
chr1	25507232	25507527	.	.	2698	4390	61.45786
chr1	25907099	25907246	.	.	2726	5183	52.59502
chr1	26152933	26153009	.	.	1985	3371	58.8846
chr1	26156210	26156423	.	.	3122	5235	59.63706
chr1	26177391	26177662	.	.	4548	8267	55.013912
chr1	26201270	26201422	.	.	2825	5041	56.040466
chr1	26225049	26225083	.	.	1657	3627	45.68514
chr1	27349533	27349557	.	.	1779	3491	50.95961
chr1	27349579	27349662	.	.	3318	6416	51.714462
chr1	27350022	27350052	.	.	2748	4325	63.537575
chr1	27361231	27361312	.	.	3020	5469	55.220337
chr1	27528847	27529083	.	.	1971	3857	51.101894
chr1	27625677	27625799	.	.	1937	3876	49.9742
chr1	27859056	27859180	.	.	2456	4525	54.276245
chr1	28494576	28494616	.	.	2134	3837	55.616367
chr1	28775697	28775799	.	.	2566	4650	55.182796
chr1	29121197	29121231	.	.	1946	3599	54.070576
chr1	29134421	29134454	.	.	2346	3869	60.635822
chr1	29182581	29182700	.	.	3689	6912	53.370945
chr1	29260837	29260899	.	.	3365	6196	54.30923
chr1	29835523	29836062	.	.	2886	4977	57.986736
chr1	29991181	29991287	.	.	3630	5892	61.608963
chr1	30745552	30745681	.	.	2458	4223	58.205067
chr1	30783305	30783580	.	.	2124	4012	52.941177
chr1	30807468	30807489	.	.	1841	3628	50.744213
chr1	30846041	30846194	.	.	2073	3570	58.067226
chr1	30881343	30881438	.	.	2527	4367	57.86581
chr1	30881497	30881573	.	.	2491	4242	58.722298
chr1	31618487	31618621	.	.	1899	3383	56.13361
chr1	32020442	32021719	.	.	2304	4480	51.428574
chr1	32251427	32251551	.	.	2418	3957	61.106895
chr1	32471039	32471079	.	.	3976	7140	55.686275
chr1	32471178	32471300	.	.	2522	4663	54.08535
chr1	32637328	32637728	.	.	4072	7591	53.64247
chr1	33307292	33307304	.	.	2227	3594	61.964386
chr1	34251025	34251062	.	.	2297	4271	53.78132
chr1	34441767	34441886	.	.	2228	4074	54.68827
chr1	34740579	34740666	.	.	2278	4359	52.259697
chr1	36322394	36322422	.	.	2112	3773	55.976677
chr1	36485678	36485770	.	.	1811	3707	48.85352
chr1	36556126	36556406	.	.	2210	3774	58.55856
chr1	36693285	36693374	.	.	2104	3694	56.957226
chr1	36706805	36707055	.	.	2108	3764	56.00425
chr1	36736297	36736454	.	.	2085	3876	53.792572
chr1	36856325	36856476	.	.	2734	5133	53.2632
chr1	37475975	37476278	.	.	2421	4467	54.19745
chr1	37741829	37741924	.	.	1771	3443	51.4377
chr1	37761792	37761849	.	.	3908	6435	60.73038
chr1	37764188	37764229	.	.	2503	4543	55.09575
chr1	37995589	37996208	.	.	17640	31992	55.138786
chr1	37996230	37996315	.	.	3505	6620	52.94562
chr1	38783959	38784021	.	.	2821	5190	54.35453
chr1	38784046	38784173	.	.	4651	7903	58.85107
chr1	39409899	39410115	.	.	1887	3535	53.38048
chr1	39559198	39559743	.	.	13965	22447	62.21321
chr1	39692803	39692886	.	.	1899	3587	52.941177
chr1	39717851	39718021	.	.	2122	3768	56.316345
chr1	41011887	41011956	.	.	1815	3088	58.77591
chr1	41423623	41423709	.	.	2863	5992	47.780373
chr1	41435753	41436163	.	.	3480	6260	55.591053
chr1	41495438	41495611	.	.	2512	4415	56.896942
chr1	42606496	42606651	.	.	1947	3653	53.298656
chr1	42936668	42936791	.	.	1793	3471	51.656586
chr1	42945261	42945504	.	.	2500	4028	62.06554
chr1	43348931	43349652	.	.	28428	45798	62.072582
chr1	44814389	44814442	.	.	2002	3799	52.698074
chr1	45001232	45001466	.	.	2405	4083	58.90277
chr1	45334108	45334165	.	.	1906	3620	52.651936
chr1	46184646	46185170	.	.	2607	4652	56.040413
chr1	46453010	46453151	.	.	2851	5204	54.784782
chr1	46493791	46493813	.	.	1906	3431	55.552315
chr1	47711404	47711626	.	.	2375	4195	56.61502
chr1	47712440	47712651	.	.	1828	3369	54.259426
chr1	47986841	47986883	.	.	1937	3480	55.660923
chr1	51618039	51618110	.	.	2055	3596	57.146828
chr1	53470288	53470326	.	.	2939	5199	56.5301
chr1	53594223	53594310	.	.	2754	4549	60.54078
chr1	54348058	54348177	.	.	2430	4507	53.916134
chr1	54380593	54380670	.	.	2818	4710	59.830147
chr1	54548282	54548366	.	.	3731	6789	54.95655
chr1	55147681	55147804	.	.	2524	4349	58.036327
chr1	58577491	58577536	.	.	2311	4782	48.327057
chr1	61335143	61335295	.	.	2913	4758	61.2232
chr1	62287023	62287222	.	.	2083	3597	57.90937
chr1	62325216	62325479	.	.	2237	3830	58.407314
chr1	63966312	63966411	.	.	1832	3765	48.6587
chr1	65096926	65097661	.	.	2090	3623	57.687004
chr1	68049906	68050678	.	.	13499	27143	49.732895
chr1	68050690	68051590	.	.	10839	21913	49.463787
chr1	68051649	68051855	.	.	5697	10774	52.877296
chr1	68431317	68431519	.	.	1969	3473	56.6945
chr1	68818537	68818742	.	.	3374	5393	62.56258
chr1	68818746	68818960	.	.	4357	6913	63.026184
chr1	71706132	71706269	.	.	2124	3820	55.602093
chr1	72636116	72636133	.	.	1476	2939	50.221165
chr1	75124682	75124715	.	.	2081	4107	50.669586
chr1	75376200	75376475	.	.	2151	4316	49.837814
chr1	76764832	76765114	.	.	6302	11127	56.63701
chr1	77414221	77414476	.	.	2032	3680	55.217392
chr1	77515530	77515641	.	.	1812	3339	54.267746
chr1	77680113	77680752	.	.	2332	4239	55.012978
chr1	77687589	77687658	.	.	2052	3854	53.24338
chr1	77687692	77687777	.	.	2300	4584	50.174522
chr1	77687879	77688075	.	.	6648	12928	51.42327
chr1	77977449	77977520	.	.	2062	3922	52.57522
chr1	78237706	78238124	.	.	2202	3803	57.901657
chr1	86502842	86503191	.	.	3522	6494	54.234676
chr1	88983882	88983967	.	.	2809	5133	54.724335
chr1	89088782	89088878	.	.	1983	3467	57.196426
chr1	89844332	89844633	.	.	2295	4027	56.990314
chr1	100785530	100785950	.	.	1830	3385	54.06204
chr1	101356774	101357928	.	.	2207	4269	51.69829
chr1	102774809	102775027	.	.	1813	3411	53.151566
chr1	105526520	105527165	.	.	2049	3528	58.078228
chr1	108273221	108273315	.	.	3416	5423	62.990963
chr1	108421061	108421155	.	.	1768	2883	61.32501
chr1	108660739	108660796	.	.	2465	4682	52.64844
chr1	108703512	108703587	.	.	2303	3904	58.990776
chr1	108830653	108830714	.	.	2358	3884	60.71061
chr1	109274137	109274167	.	.	2064	3491	59.123463
chr1	109390387	109390808	.	.	1757	3405	51.600586
chr1	109424631	109424702	.	.	1736	3106	55.891823
chr1	109767027	109767244	.	.	3331	6372	52.27558
chr1	109788089	109788377	.	.	2836	4474	63.388466
chr1	110449816	110450219	.	.	2207	4033	54.72353
chr1	110673377	110673514	.	.	2813	5025	55.9801
chr1	110673932	110674039	.	.	5965	10976	54.345848
chr1	111040368	111040415	.	.	1912	3850	49.66234
chr1	111040687	111040735	.	.	2541	4464	56.922043
chr1	111219850	111220146	.	.	2454	3977	61.704803
chr1	111904698	111904754	.	.	2120	3632	58.37004
chr1	112711205	112711440	.	.	2874	4955	58.002018
chr1	112743328	112743420	.	.	1996	3654	54.62507
chr1	114058568	114058693	.	.	1851	3650	50.71233
chr1	114089404	114089570	.	.	2740	4449	61.586876
chr1	114261364	114261606	.	.	1840	3319	55.43839
chr1	114854787	114854843	.	.	2134	3644	58.562023
chr1	115564369	115564403	.	.	2310	4305	53.65854
chr1	115671079	115671109	.	.	1762	3285	53.63775
chr1	115828978	115829162	.	.	2000	3740	53.475933
chr1	116770258	116770358	.	.	2137	3917	54.55706
chr1	117656250	117656356	.	.	2102	3524	59.648125
chr1	121019929	121020069	.	.	2941	5483	53.63852
chr1	121020116	121020238	.	.	2549	4461	57.139652
chr1	121051455	121051674	.	.	7405	14258	51.935757
chr1	121117725	121117978	.	.	3522	6429	54.783016
chr1	121243154	121243235	.	.	1994	3697	53.935623
chr1	121401816	121401893	.	.	3691	6409	57.59089
chr1	122170831	122171027	.	.	10	16	62.5
chr1	124917982	124918172	.	.	1698	2656	63.93072
chr1	143204293	143204417	.	.	1278	2178	58.677685
chr1	143243262	143243348	.	.	6675	11441	58.342804
chr1	143353593	143353703	.	.	1056	2005	52.668327
chr1	143650000	143650024	.	.	1928	3257	59.19558
chr1	143656231	143657050	.	.	2072	3731	55.53471
chr1	143664166	143664453	.	.	2074	3412	60.78546
chr1	143665722	143665865	.	.	1719	3199	53.735542
chr1	143667578	143667608	.	.	2344	3744	62.606834
chr1	143667761	143667790	.	.	1732	3323	52.12158
chr1	143717998	143718066	.	.	1736	3301	52.590126
chr1	143799344	143799466	.	.	2199	3951	55.656796
chr1	143883548	143883608	.	.	1919	3242	59.19186
chr1	143904378	143904399	.	.	2059	3476	59.23475
chr1	144046362	144046462	.	.	1950	3921	49.732212
chr1	144178512	144178698	.	.	2387	4285	55.70595
chr1	144247571	144247695	.	.	5502	10727	51.29113
chr1	144277198	144277614	.	.	3764	6736	55.87886
chr1	144688760	144689176	.	.	1864	3393	54.936634
chr1	144715494	144715662	.	.	3185	6018	52.92456
chr1	144787502	144787566	.	.	2841	4828	58.844246
chr1	144787688	144787885	.	.	6344	11630	54.54858
chr1	145037074	145037155	.	.	1984	3804	52.155624
chr1	145156227	145156330	.	.	1907	3700	51.540543
chr1	146393317	146393345	.	.	1824	3779	48.26674
chr1	146932523	146932876	.	.	9848	17387	56.64002
chr1	146932894	146933412	.	.	9642	16635	57.962124
chr1	147077375	147077462	.	.	2187	4569	47.86605
chr1	147077691	147077745	.	.	2000	3936	50.813007
chr1	147177935	147178059	.	.	2587	5541	46.688324
chr1	148049751	148049780	.	.	1795	3523	50.950897
chr1	148281621	148281672	.	.	1965	3388	57.998817
chr1	148310260	148310319	.	.	3141	5296	59.30891
chr1	148329010	148329041	.	.	2364	3885	60.849422
chr1	148329327	148329493	.	.	2462	4626	53.22093
chr1	148329552	148329657	.	.	3638	6910	52.648335
chr1	148354757	148354832	.	.	2126	3755	56.617844
chr1	148379805	148379918	.	.	3106	5190	59.84586
chr1	149158754	149158898	.	.	1995	3660	54.508198
chr1	149164165	149164439	.	.	2600	4206	61.816452
chr1	149698400	149698494	.	.	3141	5431	57.834656
chr1	149698696	149698902	.	.	4790	8514	56.260277
chr1	149702054	149702104	.	.	1778	3264	54.473038
chr1	149707612	149707754	.	.	3884	6789	57.210194
chr1	149711810	149711896	.	.	3142	5187	60.574512
chr1	150282982	150283017	.	.	2640	4119	64.09322
chr1	150877209	150877298	.	.	2467	4410	55.941044
chr1	150925560	150925699	.	.	8064	12987	62.092865
chr1	150925776	150925826	.	.	2540	4215	60.260975
chr1	153022373	153022416	.	.	2057	3955	52.010113
chr1	153514748	153514859	.	.	1802	3094	58.24176
chr1	153532798	153532921	.	.	2172	4015	54.097134
chr1	154423651	154424133	.	.	1836	3529	52.02607
chr1	154502991	154503041	.	.	3686	7438	49.55633
chr1	154731238	154731346	.	.	1875	3485	53.802006
chr1	154796587	154796729	.	.	2392	4297	55.666744
chr1	154869182	154869396	.	.	4330	7283	59.45352
chr1	154869444	154869719	.	.	5007	9018	55.522285
chr1	154936173	154936262	.	.	2654	4384	60.538322
chr1	154970307	154970683	.	.	2399	4546	52.77167
chr1	155012183	155012252	.	.	1728	3368	51.306416
chr1	155126181	155126251	.	.	2605	4838	53.844566
chr1	155126308	155126382	.	.	3107	6052	51.338398
chr1	156690516	156690714	.	.	1963	3670	53.487736
chr1	156863114	156863229	.	.	1801	3497	51.501286
chr1	157279026	157279207	.	.	5972	11266	53.009052
chr1	159900308	159900401	.	.	2430	4668	52.056557
chr1	160981502	160981548	.	.	2162	3935	54.94282
chr1	161154544	161154587	.	.	2348	4149	56.591953
chr1	161299563	161299599	.	.	2414	4013	60.1545
chr1	161427346	161427396	.	.	2154	3654	58.949097
chr1	161443875	161443941	.	.	4342	7681	56.5291
chr1	161450147	161450184	.	.	16594	27352	60.668327
chr1	161450470	161450509	.	.	12186	24010	50.75385
chr1	161457519	161457555	.	.	9116	15773	57.794964
chr1	161457906	161457940	.	.	5864	11635	50.399654
chr1	161464340	161464367	.	.	6732	14508	46.401985
chr1	161464938	161464965	.	.	8958	14929	60.00402
chr1	161465261	161465300	.	.	9801	18769	52.219086
chr1	161470714	161470749	.	.	4878	9382	51.99318
chr1	161472139	161472181	.	.	3014	6064	49.703167
chr1	161472310	161472343	.	.	3937	6566	59.9604
chr1	161505169	161505190	.	.	2025	3388	59.769775
chr1	162065741	162065803	.	.	2312	4067	56.847797
chr1	162353416	162353895	.	.	2390	3944	60.59838
chr1	165284548	165284776	.	.	3475	6101	56.95788
chr1	166140163	166140257	.	.	2180	3901	55.88311
chr1	167439892	167439970	.	.	2136	3612	59.13621
chr1	169883059	169883193	.	.	4165	7129	58.42334
chr1	170667300	170667309	.	.	1761	3070	57.36156
chr1	171033533	171033707	.	.	1911	3471	55.05618
chr1	172799802	172800121	.	.	3929	7090	55.416077
chr1	175599616	175599671	.	.	1952	3649	53.494106
chr1	176313753	176313987	.	.	2458	4039	60.856647
chr1	176532547	176532751	.	.	2321	3878	59.850437
chr1	177779275	177779666	.	.	2229	3832	58.16806
chr1	179953517	179953642	.	.	3145	5763	54.572273
chr1	181063969	181064331	.	.	1845	3696	49.91883
chr1	181088040	181088226	.	.	2326	3980	58.44221
chr1	182297744	182297803	.	.	1325	2668	49.662666
chr1	182841575	182841662	.	.	1955	3547	55.117
chr1	185404331	185404429	.	.	2892	4659	62.073402
chr1	187072487	187072546	.	.	2548	3839	66.37145
chr1	187072560	187072846	.	.	6559	10468	62.657623
chr1	187072884	187073023	.	.	3523	5540	63.59206
chr1	187073113	187073378	.	.	4373	7118	61.435795
chr1	188263239	188263397	.	.	1592	2987	53.297623
chr1	198679222	198679357	.	.	3193	5752	55.511127
chr1	200075592	200075671	.	.	2233	3902	57.227062
chr1	200233546	200233670	.	.	2107	3639	57.900524
chr1	200935489	200935559	.	.	1873	3798	49.31543
chr1	200992288	200992367	.	.	2895	5333	54.284645
chr1	201260221	201260333	.	.	2124	3701	57.389896
chr1	202194310	202194401	.	.	1560	2883	54.110302
chr1	202656144	202656327	.	.	1871	3441	54.37373
chr1	203649997	203650184	.	.	2397	4015	59.701122
chr1	203889817	203889944	.	.	2136	3467	61.60946
chr1	204296022	204296265	.	.	2215	3720	59.543015
chr1	205529407	205529447	.	.	2331	4057	57.45625
chr1	205568237	205568340	.	.	2159	3741	57.711838
chr1	205849611	205849828	.	.	3884	7591	51.165855
chr1	205849924	205849982	.	.	2224	4874	45.629875
chr1	206717883	206718327	.	.	3206	5959	53.800976
chr1	206890912	206891002	.	.	2987	5598	53.35834
chr1	208077438	208077664	.	.	1821	3426	53.152363
chr1	209231585	209231607	.	.	2208	4032	54.761906
chr1	209231965	209232027	.	.	3971	7514	52.84802
chr1	209584389	209584421	.	.	2256	4221	53.44705
chr1	209838613	209838945	.	.	2569	5146	49.922268
chr1	210343186	210343657	.	.	3279	5856	55.993855
chr1	211514872	211515100	.	.	2303	3798	60.637177
chr1	216531392	216531658	.	.	2914	4803	60.67041
chr1	217141004	217141177	.	.	2152	3493	61.608932
chr1	218217186	218217509	.	.	1642	3214	51.08898
chr1	220788251	220788451	.	.	1948	3535	55.10608
chr1	220810510	220810618	.	.	2090	4243	49.2576
chr1	222050695	222050755	.	.	2500	4314	57.95086
chr1	223248896	223249143	.	.	2727	4423	61.654984
chr1	224736869	224737154	.	.	1941	3492	55.58419
chr1	225777153	225777195	.	.	2153	3767	57.154232
chr1	225883476	225883616	.	.	2363	4429	53.352898
chr1	225883983	225884279	.	.	1686	3324	50.72202
chr1	225939735	225939746	.	.	1735	3561	48.72227
chr1	226653614	226653804	.	.	2224	3858	57.646446
chr1	227316126	227316376	.	.	2330	4464	52.19534
chr1	227558772	227558906	.	.	2104	3955	53.19848
chr1	227559814	227559858	.	.	2402	4055	59.23551
chr1	227560560	227560620	.	.	1675	3202	52.311058
chr1	228103823	228103832	.	.	1701	3103	54.81792
chr1	228212760	228212794	.	.	2131	3983	53.502388
chr1	228470850	228470947	.	.	1998	3407	58.643967
chr1	228471400	228471547	.	.	4013	6978	57.509315
chr1	228554021	228554162	.	.	1264	2096	60.305344
chr1	228555628	228555672	.	.	975	1599	60.975613
chr1	228555677	228555759	.	.	2870	4719	60.81797
chr1	228557132	228557215	.	.	1206	2106	57.26496
chr1	228635943	228636025	.	.	14063	22105	63.619087
chr1	228641478	228641623	.	.	11452	18429	62.141193
chr1	228641796	228641860	.	.	14078	21733	64.77706
chr1	228641938	228642015	.	.	9636	15294	63.0051
chr1	228642073	228642109	.	.	6858	10950	62.630135
chr1	228642128	228642239	.	.	10840	16684	64.97243
chr1	228642342	228642379	.	.	9294	14759	62.97175
chr1	228642649	228642759	.	.	14707	23368	62.936497
chr1	228642970	228643028	.	.	6794	10713	63.418274
chr1	228643209	228643282	.	.	7929	12392	63.98483
chr1	228643369	228643437	.	.	5985	10198	58.68798
chr1	228643719	228644657	.	.	123289	203384	60.618828
chr1	228644699	228644832	.	.	7350	12649	58.107357
chr1	228644854	228644990	.	.	20186	32739	61.657352
chr1	228645201	228645384	.	.	27333	43404	62.973457
chr1	228645404	228645535	.	.	23431	38813	60.36895
chr1	228645556	228645692	.	.	12793	21978	58.20821
chr1	228645738	228645830	.	.	9199	14914	61.680298
chr1	228645874	228646269	.	.	31191	62926	49.56775
chr1	228646281	228646353	.	.	7300	15770	46.290424
chr1	229146625	229146927	.	.	2505	4159	60.230827
chr1	229567667	229567735	.	.	2131	3688	57.781994
chr1	230057810	230057963	.	.	2765	4766	58.015106
chr1	230105661	230105890	.	.	2115	3572	59.210526
chr1	230277087	230277428	.	.	2260	3968	56.955647
chr1	230515815	230516112	.	.	1895	3401	55.718906
chr1	231021521	231021629	.	.	1969	3659	53.812515
chr1	231929466	231929548	.	.	2199	3625	60.662067
chr1	233257871	233258086	.	.	2174	4365	49.805267
chr1	234231776	234231851	.	.	2386	4304	55.436802
chr1	234356813	234357147	.	.	11675	19817	58.914066
chr1	234519777	234519942	.	.	2343	4025	58.211178
chr1	235199582	235199730	.	.	2245	4081	55.01103
chr1	235864668	235864753	.	.	1767	3551	49.76063
chr1	235916148	235916170	.	.	762	1559	48.877487
chr1	236156563	236156634	.	.	1940	3622	53.56157
chr1	236952604	236952752	.	.	2015	3663	55.009556
chr1	237016574	237017397	.	.	2038	3738	54.521133
chr1	239805222	239805790	.	.	1938	3503	55.324005
chr1	240492888	240492917	.	.	1889	3562	53.032005
chr1	240492930	240492986	.	.	4086	7933	51.506363
chr1	240493152	240493395	.	.	6728	13238	50.823383
chr1	242937382	242937452	.	.	2371	4079	58.12699
chr1	243101494	243101648	.	.	3233	6214	52.02768
chr1	243101680	243101720	.	.	1847	4054	45.55994
chr1	243730701	243730735	.	.	2122	3797	55.886227
chr1	244074857	244075060	.	.	4391	8543	51.398808
chr1	244075186	244075407	.	.	2244	4060	55.270935
chr1	244290461	244290727	.	.	2118	3423	61.875546
chr1	244304339	244304382	.	.	2192	3572	61.366184
chr1	245501784	245501921	.	.	2550	4005	63.670414
chr1	245687908	245687998	.	.	2152	3907	55.080624
chr1	245807332	245807859	.	.	5224	10078	51.83568
chr1	246651156	246651307	.	.	2304	3902	59.046642
chr1	246930512	246930704	.	.	2067	3916	52.783455
chr1	247007232	247007280	.	.	2298	3870	59.379845
chr1	247079338	247079436	.	.	2745	4722	58.13215
chr1	247104717	247104804	.	.	2006	3463	57.926655
chr1	247360445	247360511	.	.	1894	3677	51.50938
chr1	247448189	247448241	.	.	4180	8877	47.08798
